,level_0,index,Name,Rating Value,Rating Count,Course,Would Take Again,Difficulty,University,Link,Score
102,102,24,Gary De Jesus,5.0,2,Marketing,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2124114,0.72
103,103,270,Sara Drabik,4.1,12,Communication,0.58,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1781949,0.712923076923077
104,104,63,Tamuchin McCreless,4.7,3,Business Informatics,1.0,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2138588,0.7090000000000001
105,105,71,Jason Mossman,3.4,21,Film,0.67,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2280204,0.7073636363636364
106,106,19,Nancy Dick,4.2,5,English,0.0,1.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1630284,0.706
107,107,102,Michael Washington,3.9,61,History,0.56,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/593715,0.7051612903225806
108,108,311,Richard Fox,4.1,39,Computer Science,0.91,3.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/309955,0.7015
109,109,137,Beth Wells,5.0,5,Mathematics,0.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/777647,0.694
110,110,52,Roxanne Kent-drury,3.3,31,English,0.67,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/996687,0.6936249999999999
111,111,12,Robert Thacker,4.6,10,Biology,0.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1383665,0.6927272727272726
112,112,56,Blaise Weller,3.8,46,English,0.43,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1064967,0.6906170212765956
113,113,138,Malcom Henderson,5.0,1,Business,0.0,1.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2067901,0.6900000000000001
114,114,16,Kimberly Schave,5.0,1,Student Success,0.0,1.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1516717,0.6900000000000001
115,115,169,Peter Padolik,5.0,1,Chemistry,0.0,1.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1878587,0.6900000000000001
116,116,217,Lynda Mercer,5.0,2,Interdisciplinary Studies,1.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2350640,0.69
117,117,207,Erin Hackmann,5.0,2,Art History,1.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2284913,0.69
118,118,31,Matt Gregory,5.0,2,Mathematics,1.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2325352,0.69
119,119,296,Andrew Miller,4.1,23,English,0.0,2.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/535552,0.6895
120,120,192,Elizabeth Harris,4.4,6,Theater,0.0,2.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1769988,0.6891428571428571
121,121,328,Olga Filatova,4.5,7,English,0.0,2.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1581524,0.6885000000000001
122,122,173,Terri Iacobucci,2.8,9,Business,1.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1226844,0.688
123,123,76,Nicole Grant,3.1,115,Sociology,0.59,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/126448,0.6864137931034482
124,124,275,Jang-Chul Kim,3.8,25,Finance,0.67,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1231873,0.6854615384615385
125,125,299,Jeffrey Steller,3.7,3,Biological Sciences,1.0,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2077657,0.6849999999999999
126,126,332,Seungcheol Lee,4.0,3,Communication,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1804065,0.6849999999999999
